frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1","Dec  8, 2024 14:50:18.654435804 IST",,,,,"42","Who has 172.18.0.3? Tell 172.18.0.2"
"2","Dec  8, 2024 14:50:18.654453674 IST",,,,,"42","172.18.0.3 is at 02:42:ac:12:00:03"
"3","Dec  8, 2024 14:50:18.894687337 IST","172.18.0.2","172.18.0.3","52975","113","58","52975 → 113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"4","Dec  8, 2024 14:50:18.894790083 IST","172.18.0.3","172.18.0.2","113","52975","54","113 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","Dec  8, 2024 14:50:18.894833786 IST","172.18.0.2","172.18.0.3","52975","993","58","52975 → 993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"6","Dec  8, 2024 14:50:18.894840253 IST","172.18.0.3","172.18.0.2","993","52975","54","993 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","Dec  8, 2024 14:50:18.894854171 IST","172.18.0.2","172.18.0.3","52975","23","58","52975 → 23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"8","Dec  8, 2024 14:50:18.894858128 IST","172.18.0.3","172.18.0.2","23","52975","54","23 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","Dec  8, 2024 14:50:18.894870004 IST","172.18.0.2","172.18.0.3","52975","445","58","52975 → 445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"10","Dec  8, 2024 14:50:18.894873752 IST","172.18.0.3","172.18.0.2","445","52975","54","445 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","Dec  8, 2024 14:50:18.894885073 IST","172.18.0.2","172.18.0.3","52975","554","58","52975 → 554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"12","Dec  8, 2024 14:50:18.894888877 IST","172.18.0.3","172.18.0.2","554","52975","54","554 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","Dec  8, 2024 14:50:18.894900804 IST","172.18.0.2","172.18.0.3","52975","995","58","52975 → 995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"14","Dec  8, 2024 14:50:18.894904147 IST","172.18.0.3","172.18.0.2","995","52975","54","995 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","Dec  8, 2024 14:50:18.894916264 IST","172.18.0.2","172.18.0.3","52975","111","58","52975 → 111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"16","Dec  8, 2024 14:50:18.894919629 IST","172.18.0.3","172.18.0.2","111","52975","54","111 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"17","Dec  8, 2024 14:50:18.894935234 IST","172.18.0.2","172.18.0.3","52975","22","58","52975 → 22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"18","Dec  8, 2024 14:50:18.894939542 IST","172.18.0.3","172.18.0.2","22","52975","54","22 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"19","Dec  8, 2024 14:50:18.894951210 IST","172.18.0.2","172.18.0.3","52975","5900","58","52975 → 5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"20","Dec  8, 2024 14:50:18.894955754 IST","172.18.0.3","172.18.0.2","5900","52975","54","5900 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21","Dec  8, 2024 14:50:18.894970867 IST","172.18.0.2","172.18.0.3","52975","587","58","52975 → 587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
