frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1","Dec  8, 2024 14:51:13.863793188 IST",,,,,"42","Who has 172.18.0.3? Tell 172.18.0.2"
"2","Dec  8, 2024 14:51:13.863818322 IST",,,,,"42","172.18.0.3 is at 02:42:ac:12:00:03"
"3","Dec  8, 2024 14:51:14.173515014 IST","172.18.0.2","172.18.0.3","61216","22","58","61216 → 22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"4","Dec  8, 2024 14:51:14.173542977 IST","172.18.0.3","172.18.0.2","22","61216","54","22 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","Dec  8, 2024 14:51:14.173566646 IST","172.18.0.2","172.18.0.3","61216","25","58","61216 → 25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"6","Dec  8, 2024 14:51:14.173570652 IST","172.18.0.3","172.18.0.2","25","61216","54","25 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","Dec  8, 2024 14:51:14.173579877 IST","172.18.0.2","172.18.0.3","61216","8080","58","61216 → 8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"8","Dec  8, 2024 14:51:14.173583014 IST","172.18.0.3","172.18.0.2","8080","61216","54","8080 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","Dec  8, 2024 14:51:14.173591973 IST","172.18.0.2","172.18.0.3","61216","139","58","61216 → 139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"10","Dec  8, 2024 14:51:14.173595159 IST","172.18.0.3","172.18.0.2","139","61216","54","139 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","Dec  8, 2024 14:51:14.173603794 IST","172.18.0.2","172.18.0.3","61216","587","58","61216 → 587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"12","Dec  8, 2024 14:51:14.173606920 IST","172.18.0.3","172.18.0.2","587","61216","54","587 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","Dec  8, 2024 14:51:14.173616109 IST","172.18.0.2","172.18.0.3","61216","21","58","61216 → 21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"14","Dec  8, 2024 14:51:14.173619150 IST","172.18.0.3","172.18.0.2","21","61216","54","21 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","Dec  8, 2024 14:51:14.173627834 IST","172.18.0.2","172.18.0.3","61216","8888","58","61216 → 8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"16","Dec  8, 2024 14:51:14.173630811 IST","172.18.0.3","172.18.0.2","8888","61216","54","8888 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"17","Dec  8, 2024 14:51:14.173640201 IST","172.18.0.2","172.18.0.3","61216","256","58","61216 → 256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"18","Dec  8, 2024 14:51:14.173643242 IST","172.18.0.3","172.18.0.2","256","61216","54","256 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"19","Dec  8, 2024 14:51:14.173652030 IST","172.18.0.2","172.18.0.3","61216","993","58","61216 → 993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"20","Dec  8, 2024 14:51:14.173654997 IST","172.18.0.3","172.18.0.2","993","61216","54","993 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21","Dec  8, 2024 14:51:14.173663842 IST","172.18.0.2","172.18.0.3","61216","110","58","61216 → 110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"22","Dec  8, 2024 14:51:14.173666634 IST","172.18.0.3","172.18.0.2","110","61216","54","110 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"23","Dec  8, 2024 14:51:14.173722707 IST","172.18.0.2","172.18.0.3","61216","53","58","61216 → 53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"24","Dec  8, 2024 14:51:14.173726219 IST","172.18.0.3","172.18.0.2","53","61216","54","53 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"25","Dec  8, 2024 14:51:14.173736599 IST","172.18.0.2","172.18.0.3","61216","3306","58","61216 → 3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"26","Dec  8, 2024 14:51:14.173740078 IST","172.18.0.3","172.18.0.2","3306","61216","54","3306 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"27","Dec  8, 2024 14:51:14.173748604 IST","172.18.0.2","172.18.0.3","61216","1720","58","61216 → 1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"28","Dec  8, 2024 14:51:14.173752164 IST","172.18.0.3","172.18.0.2","1720","61216","54","1720 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"29","Dec  8, 2024 14:51:14.173761175 IST","172.18.0.2","172.18.0.3","61216","995","58","61216 → 995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"30","Dec  8, 2024 14:51:14.173764011 IST","172.18.0.3","172.18.0.2","995","61216","54","995 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"31","Dec  8, 2024 14:51:14.173772705 IST","172.18.0.2","172.18.0.3","61216","23","58","61216 → 23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
