frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1","Dec 10, 2024 20:16:59.263571756 IST",,,,,"42","Who has 172.18.0.3? Tell 172.18.0.2"
"2","Dec 10, 2024 20:16:59.263589158 IST",,,,,"42","172.18.0.3 is at 02:42:ac:12:00:03"
"3","Dec 10, 2024 20:16:59.533439972 IST","172.18.0.2","172.18.0.3","52006","8080","58","52006 → 8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"4","Dec 10, 2024 20:16:59.533464854 IST","172.18.0.3","172.18.0.2","8080","52006","54","8080 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","Dec 10, 2024 20:16:59.533488460 IST","172.18.0.2","172.18.0.3","52006","80","58","52006 → 80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"6","Dec 10, 2024 20:16:59.533500334 IST","172.18.0.3","172.18.0.2","80","52006","58","80 → 52006 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"7","Dec 10, 2024 20:16:59.533510880 IST","172.18.0.2","172.18.0.3","52006","80","54","52006 → 80 [RST] Seq=1 Win=0 Len=0"
"8","Dec 10, 2024 20:16:59.533523573 IST","172.18.0.2","172.18.0.3","52006","111","58","52006 → 111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"9","Dec 10, 2024 20:16:59.533528063 IST","172.18.0.3","172.18.0.2","111","52006","54","111 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"10","Dec 10, 2024 20:16:59.533542010 IST","172.18.0.2","172.18.0.3","52006","1720","58","52006 → 1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"11","Dec 10, 2024 20:16:59.533546212 IST","172.18.0.3","172.18.0.2","1720","52006","54","1720 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"12","Dec 10, 2024 20:16:59.533558890 IST","172.18.0.2","172.18.0.3","52006","22","58","52006 → 22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"13","Dec 10, 2024 20:16:59.533562490 IST","172.18.0.3","172.18.0.2","22","52006","54","22 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"14","Dec 10, 2024 20:16:59.533574960 IST","172.18.0.2","172.18.0.3","52006","8888","58","52006 → 8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
