frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1","Dec  8, 2024 14:59:56.534966474 IST",,,,,"42","Who has 172.18.0.3? Tell 172.18.0.2"
"2","Dec  8, 2024 14:59:56.534983839 IST",,,,,"42","172.18.0.3 is at 02:42:ac:12:00:03"
"3","Dec  8, 2024 14:59:56.885301937 IST","172.18.0.2","172.18.0.3",,,"82","57660 → 49167 Len=40"
"4","Dec  8, 2024 14:59:56.885378128 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"5","Dec  8, 2024 14:59:56.885421522 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 21784 Len=0"
"6","Dec  8, 2024 14:59:56.885429140 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"7","Dec  8, 2024 14:59:56.885443142 IST","172.18.0.2","172.18.0.3",,,"82","57660 → 33866 Len=40"
"8","Dec  8, 2024 14:59:56.885448493 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"9","Dec  8, 2024 14:59:56.885463479 IST","172.18.0.2","172.18.0.3",,,"82","V104316 proc-0 Call"
"10","Dec  8, 2024 14:59:56.885470324 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"11","Dec  8, 2024 14:59:56.885477611 IST","172.18.0.2","172.18.0.3",,,"82","57660 → 32780 Len=40"
"12","Dec  8, 2024 14:59:56.885480968 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"13","Dec  8, 2024 14:59:56.885499236 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 514 Len=0"
"14","Dec  8, 2024 14:59:56.885504436 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"15","Dec  8, 2024 14:59:56.885530542 IST","172.18.0.2","172.18.0.3",,,"114","57660 → 1088 Len=72"
"16","Dec  8, 2024 14:59:56.885543051 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 16674 Len=0"
"17","Dec  8, 2024 14:59:56.885557221 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 19650 Len=0"
