frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1","Dec 16, 2024 14:32:35.676488119 IST",,,,,"42","Who has 172.18.0.2? Tell 172.18.0.3"
"2","Dec 16, 2024 14:32:35.676543832 IST",,,,,"42","172.18.0.2 is at 02:42:ac:12:00:02"
"3","Dec 16, 2024 14:32:36.667351347 IST",,,,,"42","Who has 172.18.0.3? Tell 172.18.0.2"
"4","Dec 16, 2024 14:32:36.667367681 IST",,,,,"42","172.18.0.3 is at 02:42:ac:12:00:03"
"5","Dec 16, 2024 14:32:36.897816622 IST","172.18.0.2","172.18.0.3","46819","110","54","46819 → 110 [<None>] Seq=1 Win=1024 Len=0"
"6","Dec 16, 2024 14:32:36.897841948 IST","172.18.0.3","172.18.0.2","110","46819","54","110 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","Dec 16, 2024 14:32:36.897861908 IST","172.18.0.2","172.18.0.3","46819","53","54","46819 → 53 [<None>] Seq=1 Win=1024 Len=0"
"8","Dec 16, 2024 14:32:36.897865248 IST","172.18.0.3","172.18.0.2","53","46819","54","53 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","Dec 16, 2024 14:32:36.897875168 IST","172.18.0.2","172.18.0.3","46819","995","54","46819 → 995 [<None>] Seq=1 Win=1024 Len=0"
"10","Dec 16, 2024 14:32:36.897878000 IST","172.18.0.3","172.18.0.2","995","46819","54","995 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","Dec 16, 2024 14:32:36.897887293 IST","172.18.0.2","172.18.0.3","46819","5900","54","46819 → 5900 [<None>] Seq=1 Win=1024 Len=0"
"12","Dec 16, 2024 14:32:36.897890319 IST","172.18.0.3","172.18.0.2","5900","46819","54","5900 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","Dec 16, 2024 14:32:36.897900073 IST","172.18.0.2","172.18.0.3","46819","443","54","46819 → 443 [<None>] Seq=1 Win=1024 Len=0"
"14","Dec 16, 2024 14:32:36.897902931 IST","172.18.0.3","172.18.0.2","443","46819","54","443 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","Dec 16, 2024 14:32:36.897912934 IST","172.18.0.2","172.18.0.3","46819","554","54","46819 → 554 [<None>] Seq=1 Win=1024 Len=0"
"16","Dec 16, 2024 14:32:36.897915729 IST","172.18.0.3","172.18.0.2","554","46819","54","554 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"17","Dec 16, 2024 14:32:36.897924957 IST","172.18.0.2","172.18.0.3","46819","1025","54","46819 → 1025 [<None>] Seq=1 Win=1024 Len=0"
"18","Dec 16, 2024 14:32:36.897928130 IST","172.18.0.3","172.18.0.2","1025","46819","54","1025 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"19","Dec 16, 2024 14:32:36.897937272 IST","172.18.0.2","172.18.0.3","46819","21","54","46819 → 21 [<None>] Seq=1 Win=1024 Len=0"
"20","Dec 16, 2024 14:32:36.897940101 IST","172.18.0.3","172.18.0.2","21","46819","54","21 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21","Dec 16, 2024 14:32:36.897949419 IST","172.18.0.2","172.18.0.3","46819","143","54","46819 → 143 [<None>] Seq=1 Win=1024 Len=0"
"22","Dec 16, 2024 14:32:36.897952182 IST","172.18.0.3","172.18.0.2","143","46819","54","143 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"23","Dec 16, 2024 14:32:36.897961912 IST","172.18.0.2","172.18.0.3","46819","3389","54","46819 → 3389 [<None>] Seq=1 Win=1024 Len=0"
"24","Dec 16, 2024 14:32:36.897964871 IST","172.18.0.3","172.18.0.2","3389","46819","54","3389 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
