frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1","Dec 16, 2024 14:24:02.794821988 IST",,,,,"42","Who has 172.18.0.3? Tell 172.18.0.2"
"2","Dec 16, 2024 14:24:02.794843873 IST",,,,,"42","172.18.0.3 is at 02:42:ac:12:00:03"
"3","Dec 16, 2024 14:24:02.985068376 IST",,,,,"42","Who has 172.18.0.3? Tell 172.18.0.2"
"4","Dec 16, 2024 14:24:02.985080606 IST",,,,,"42","172.18.0.3 is at 02:42:ac:12:00:03"
"5","Dec 16, 2024 14:24:02.985103052 IST","172.18.0.2","172.18.0.3","39799","445","58","39799 → 445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"6","Dec 16, 2024 14:24:02.985118339 IST","172.18.0.3","172.18.0.2","445","39799","54","445 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","Dec 16, 2024 14:24:02.985139213 IST","172.18.0.2","172.18.0.3","39799","80","58","39799 → 80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"8","Dec 16, 2024 14:24:02.985150668 IST","172.18.0.3","172.18.0.2","80","39799","58","80 → 39799 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"9","Dec 16, 2024 14:24:02.985160572 IST","172.18.0.2","172.18.0.3","39799","80","54","39799 → 80 [RST] Seq=1 Win=0 Len=0"
"10","Dec 16, 2024 14:24:02.985172697 IST","172.18.0.2","172.18.0.3","39799","587","58","39799 → 587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"11","Dec 16, 2024 14:24:02.985177240 IST","172.18.0.3","172.18.0.2","587","39799","54","587 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"12","Dec 16, 2024 14:24:02.985190186 IST","172.18.0.2","172.18.0.3","39799","53","58","39799 → 53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"13","Dec 16, 2024 14:24:02.985194015 IST","172.18.0.3","172.18.0.2","53","39799","54","53 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"14","Dec 16, 2024 14:24:02.985207055 IST","172.18.0.2","172.18.0.3","39799","1025","58","39799 → 1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"15","Dec 16, 2024 14:24:02.985210682 IST","172.18.0.3","172.18.0.2","1025","39799","54","1025 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"16","Dec 16, 2024 14:24:02.985222216 IST","172.18.0.2","172.18.0.3","39799","3306","58","39799 → 3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"17","Dec 16, 2024 14:24:02.985225919 IST","172.18.0.3","172.18.0.2","3306","39799","54","3306 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"18","Dec 16, 2024 14:24:02.985237566 IST","172.18.0.2","172.18.0.3","39799","113","58","39799 → 113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"19","Dec 16, 2024 14:24:02.985241240 IST","172.18.0.3","172.18.0.2","113","39799","54","113 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"20","Dec 16, 2024 14:24:02.985253020 IST","172.18.0.2","172.18.0.3","39799","3389","58","39799 → 3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"21","Dec 16, 2024 14:24:02.985256575 IST","172.18.0.3","172.18.0.2","3389","39799","54","3389 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"22","Dec 16, 2024 14:24:02.985267949 IST","172.18.0.2","172.18.0.3","39799","993","58","39799 → 993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"23","Dec 16, 2024 14:24:02.985271331 IST","172.18.0.3","172.18.0.2","993","39799","54","993 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"24","Dec 16, 2024 14:24:02.985282676 IST","172.18.0.2","172.18.0.3","39799","25","58","39799 → 25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"25","Dec 16, 2024 14:24:02.985286264 IST","172.18.0.3","172.18.0.2","25","39799","54","25 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"26","Dec 16, 2024 14:24:02.985342466 IST","172.18.0.2","172.18.0.3","39799","143","58","39799 → 143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"27","Dec 16, 2024 14:24:02.985346614 IST","172.18.0.3","172.18.0.2","143","39799","54","143 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"28","Dec 16, 2024 14:24:02.985358586 IST","172.18.0.2","172.18.0.3","39799","5900","58","39799 → 5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
