frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1","Dec  8, 2024 14:59:05.766080014 IST",,,,,"42","Who has 172.18.0.3? Tell 172.18.0.2"
"2","Dec  8, 2024 14:59:05.766100754 IST",,,,,"42","172.18.0.3 is at 02:42:ac:12:00:03"
"3","Dec  8, 2024 14:59:06.016489324 IST","172.18.0.2","172.18.0.3","34067","993","58","34067 → 993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"4","Dec  8, 2024 14:59:06.016515925 IST","172.18.0.3","172.18.0.2","993","34067","54","993 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","Dec  8, 2024 14:59:06.016543503 IST","172.18.0.2","172.18.0.3","34067","3306","58","34067 → 3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"6","Dec  8, 2024 14:59:06.016548410 IST","172.18.0.3","172.18.0.2","3306","34067","54","3306 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","Dec  8, 2024 14:59:06.016562804 IST","172.18.0.2","172.18.0.3","34067","5900","58","34067 → 5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"8","Dec  8, 2024 14:59:06.016566626 IST","172.18.0.3","172.18.0.2","5900","34067","54","5900 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","Dec  8, 2024 14:59:06.016579056 IST","172.18.0.2","172.18.0.3","34067","587","58","34067 → 587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"10","Dec  8, 2024 14:59:06.016583243 IST","172.18.0.3","172.18.0.2","587","34067","54","587 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","Dec  8, 2024 14:59:06.016595167 IST","172.18.0.2","172.18.0.3","34067","995","58","34067 → 995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"12","Dec  8, 2024 14:59:06.016599225 IST","172.18.0.3","172.18.0.2","995","34067","54","995 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","Dec  8, 2024 14:59:06.016611224 IST","172.18.0.2","172.18.0.3","34067","25","58","34067 → 25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"14","Dec  8, 2024 14:59:06.016614752 IST","172.18.0.3","172.18.0.2","25","34067","54","25 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","Dec  8, 2024 14:59:06.016626406 IST","172.18.0.2","172.18.0.3","34067","53","58","34067 → 53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"16","Dec  8, 2024 14:59:06.016629940 IST","172.18.0.3","172.18.0.2","53","34067","54","53 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"17","Dec  8, 2024 14:59:06.016645104 IST","172.18.0.2","172.18.0.3","34067","23","58","34067 → 23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"18","Dec  8, 2024 14:59:06.016649207 IST","172.18.0.3","172.18.0.2","23","34067","54","23 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"19","Dec  8, 2024 14:59:06.016661395 IST","172.18.0.2","172.18.0.3","34067","113","58","34067 → 113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"20","Dec  8, 2024 14:59:06.016664840 IST","172.18.0.3","172.18.0.2","113","34067","54","113 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21","Dec  8, 2024 14:59:06.016676596 IST","172.18.0.2","172.18.0.3","34067","1025","58","34067 → 1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"22","Dec  8, 2024 14:59:06.016680408 IST","172.18.0.3","172.18.0.2","1025","34067","54","1025 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"23","Dec  8, 2024 14:59:06.016740239 IST","172.18.0.2","172.18.0.3","34067","199","58","34067 → 199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"24","Dec  8, 2024 14:59:06.016744229 IST","172.18.0.3","172.18.0.2","199","34067","54","199 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"25","Dec  8, 2024 14:59:06.016756215 IST","172.18.0.2","172.18.0.3","34067","256","58","34067 → 256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"26","Dec  8, 2024 14:59:06.016759937 IST","172.18.0.3","172.18.0.2","256","34067","54","256 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"27","Dec  8, 2024 14:59:06.016771354 IST","172.18.0.2","172.18.0.3","34067","1720","58","34067 → 1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"28","Dec  8, 2024 14:59:06.016775320 IST","172.18.0.3","172.18.0.2","1720","34067","54","1720 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"29","Dec  8, 2024 14:59:06.016826006 IST","172.18.0.2","172.18.0.3","34067","21","58","34067 → 21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"30","Dec  8, 2024 14:59:06.016834210 IST","172.18.0.3","172.18.0.2","21","34067","54","21 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"31","Dec  8, 2024 14:59:06.016852831 IST","172.18.0.2","172.18.0.3","34067","135","58","34067 → 135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"32","Dec  8, 2024 14:59:06.016856856 IST","172.18.0.3","172.18.0.2","135","34067","54","135 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"33","Dec  8, 2024 14:59:06.016869530 IST","172.18.0.2","172.18.0.3","34067","445","58","34067 → 445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"34","Dec  8, 2024 14:59:06.016873298 IST","172.18.0.3","172.18.0.2","445","34067","54","445 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"35","Dec  8, 2024 14:59:06.016884614 IST","172.18.0.2","172.18.0.3","34067","8080","58","34067 → 8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"36","Dec  8, 2024 14:59:06.016887967 IST","172.18.0.3","172.18.0.2","8080","34067","54","8080 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"37","Dec  8, 2024 14:59:06.016899677 IST","172.18.0.2","172.18.0.3","34067","443","58","34067 → 443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"38","Dec  8, 2024 14:59:06.016903290 IST","172.18.0.3","172.18.0.2","443","34067","54","443 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"39","Dec  8, 2024 14:59:06.016915176 IST","172.18.0.2","172.18.0.3","34067","111","58","34067 → 111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"40","Dec  8, 2024 14:59:06.016918663 IST","172.18.0.3","172.18.0.2","111","34067","54","111 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"41","Dec  8, 2024 14:59:06.016931042 IST","172.18.0.2","172.18.0.3","34067","139","58","34067 → 139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"42","Dec  8, 2024 14:59:06.016934649 IST","172.18.0.3","172.18.0.2","139","34067","54","139 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"43","Dec  8, 2024 14:59:06.016947047 IST","172.18.0.2","172.18.0.3","34067","80","58","34067 → 80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"44","Dec  8, 2024 14:59:06.016958495 IST","172.18.0.3","172.18.0.2","80","34067","58","80 → 34067 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"45","Dec  8, 2024 14:59:06.016968634 IST","172.18.0.2","172.18.0.3","34067","80","54","34067 → 80 [RST] Seq=1 Win=0 Len=0"
"46","Dec  8, 2024 14:59:06.016979863 IST","172.18.0.2","172.18.0.3","34067","22","58","34067 → 22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"47","Dec  8, 2024 14:59:06.016983841 IST","172.18.0.3","172.18.0.2","22","34067","54","22 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"48","Dec  8, 2024 14:59:06.016995530 IST","172.18.0.2","172.18.0.3","34067","554","58","34067 → 554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"49","Dec  8, 2024 14:59:06.017030727 IST","172.18.0.3","172.18.0.2","554","34067","54","554 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"50","Dec  8, 2024 14:59:06.017057842 IST","172.18.0.2","172.18.0.3","34067","3389","58","34067 → 3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"51","Dec  8, 2024 14:59:06.017062836 IST","172.18.0.3","172.18.0.2","3389","34067","54","3389 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"52","Dec  8, 2024 14:59:06.017076241 IST","172.18.0.2","172.18.0.3","34067","8888","58","34067 → 8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"53","Dec  8, 2024 14:59:06.017080076 IST","172.18.0.3","172.18.0.2","8888","34067","54","8888 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"54","Dec  8, 2024 14:59:06.017093977 IST","172.18.0.2","172.18.0.3","34067","143","58","34067 → 143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"55","Dec  8, 2024 14:59:06.017097584 IST","172.18.0.3","172.18.0.2","143","34067","54","143 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"56","Dec  8, 2024 14:59:06.017109355 IST","172.18.0.2","172.18.0.3","34067","110","58","34067 → 110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"57","Dec  8, 2024 14:59:06.017142621 IST","172.18.0.3","172.18.0.2","110","34067","54","110 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"58","Dec  8, 2024 14:59:06.017168437 IST","172.18.0.2","172.18.0.3","34067","1723","58","34067 → 1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"59","Dec  8, 2024 14:59:06.017173289 IST","172.18.0.3","172.18.0.2","1723","34067","54","1723 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"60","Dec  8, 2024 14:59:06.017186644 IST","172.18.0.2","172.18.0.3","34067","9968","58","34067 → 9968 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"61","Dec  8, 2024 14:59:06.017191111 IST","172.18.0.3","172.18.0.2","9968","34067","54","9968 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"62","Dec  8, 2024 14:59:06.017203943 IST","172.18.0.2","172.18.0.3","34067","50636","58","34067 → 50636 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"63","Dec  8, 2024 14:59:06.017207613 IST","172.18.0.3","172.18.0.2","50636","34067","54","50636 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"64","Dec  8, 2024 14:59:06.017262448 IST","172.18.0.2","172.18.0.3","34067","3372","58","34067 → 3372 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"65","Dec  8, 2024 14:59:06.017266206 IST","172.18.0.3","172.18.0.2","3372","34067","54","3372 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
